wav_filename,wav_filesize,transcript,stt,I,D,S,N,Accuracy
singlish-test/108.wav,92,the fly was caught in the spiders web,the fly was caught in the sfider's wab,1,0,2,37,0.918918918918919
singlish-test/109.wav,116,fresh graduates are always anxious about their first job,fresh credites are always anxious obout their first job,0,1,4,56,0.9107142857142857
singlish-test/110.wav,114,there is speculation that a housing bubble may occur,there is speculation that a housing babble may ocker,0,0,3,52,0.9423076923076923
singlish-test/111.wav,129,rising college debt has been a widely discussed matter,rising collage depth has been a whitely discussed a methad,4,0,7,54,0.7962962962962963
singlish-test/112.wav,116,chilli crab is a famous dish in singapore,chilicrab is tha famous dich in singapaw,2,3,3,41,0.8048780487804879
singlish-test/113.wav,169,his flexible thinking led him to solve a number of the worlds hardest math problems,his flexible thinking led him to soften number of the wool hudders max's problems,2,4,8,83,0.8313253012048193
singlish-test/114.wav,97,to get better at maths practise more,to get bet at max practise maw,0,6,3,36,0.75
singlish-test/115.wav,141,a child prodigy james eventually became a respected judge,a child prodigy james eventually became a respected judge,0,0,0,57,1.0
singlish-test/116.wav,115,many beautiful dresses were showcased at the gala,many beautiful dresses were showcased a degalla,1,3,1,49,0.8979591836734694
singlish-test/117.wav,88,some cuddling could cheer her up,some cuddling could cheer her up,0,0,0,32,1.0
singlish-test/118.wav,113,the lands deed was sold to be the old lady,the land sded was sold to be the old lady,1,2,0,42,0.9285714285714286
singlish-test/119.wav,165,the coach trained the young gymnast twice as hard as the competition neared,the coach trained the young gymnest twice as hod as the comfutision near it,1,1,7,75,0.88
singlish-test/120.wav,121,i dreamt of becoming a doctor when i was a child,i drant of becoming a doctor when i was a child,0,1,1,48,0.9583333333333334
singlish-test/121.wav,122,twins often have a unique chemistry with each other,twins aften have a unique chemistry with each other,0,0,1,51,0.9803921568627451
singlish-test/122.wav,127,it is more important to study smart than to study hard,it is more important to studysma than to study hard,0,3,0,54,0.9444444444444444
singlish-test/123.wav,138,the oak tree stood strong against the test of time,the oak tree stood strong against the test of time,0,0,0,50,1.0
singlish-test/124.wav,145,the baker used a whole block of butter for this recipe,the baker used a whole block of butter for this recipe,0,0,0,54,1.0
singlish-test/125.wav,116,he did not have much but he had a kind and loving heart,he did not have much but he had a kind and living heart,0,0,1,55,0.9818181818181818
singlish-test/126.wav,188,the clever and amazing use of lighting made the musical performance a truly magical one,the clever and amazing use of lighting made the musical performance a truly magical one,0,0,0,87,1.0
singlish-test/127.wav,157,it was a miracle that he recovered from his lifethreatening accident,it was a miracle that he recovered from his life threatening accident,1,0,0,68,0.9852941176470589
singlish-test/128.wav,145,they tried to keep it a secret but he was able to figure everything out,they tried to keep it a secret but he was able to figet everything out,0,1,2,71,0.9577464788732394
singlish-test/129.wav,194,in this game you must escape from ghosts and zombies while finding the way out from the foggy maze,in this game you must escape from gos and zombis while finding the way out from the foggy maze,0,4,0,98,0.9591836734693877
singlish-test/130.wav,150,she lazed her whole morning away on a deck chair by the beach,she lays her woole warning away on a deck chair by the beach,0,1,5,61,0.9016393442622951
singlish-test/131.wav,130,there was a switch in the venue for the football match,there was a swish in the venu for the football matce,0,2,2,54,0.9259259259259259
singlish-test/132.wav,121,most youths today think that their future is uncertain,most use to they think that their future is uncertain,1,2,6,54,0.8333333333333334
singlish-test/133.wav,119,the couple went on an enriching adventure together,the couple went on and andreaching adventure together,3,0,2,50,0.9
singlish-test/134.wav,164,the girls experiences gave her an edge over her peers of the same age,the girl's experiences gave an age over her appearance of the same age,6,5,3,69,0.7971014492753623
singlish-test/135.wav,110,this kind of packaging can pose a danger to animals,the kind of packaging can pose a danger to animals,0,1,1,51,0.9607843137254902
singlish-test/136.wav,140,the student skated onto the stage to receive this certificate,the students kated onto the stage to receive the cetificate,1,3,1,61,0.9180327868852459
singlish-test/137.wav,192,he said it is a good outcome for the country and that many of the events had been meaningful,he said it is a good alcome for the country and that many of the events had been meaning ful,1,1,2,92,0.9565217391304348
singlish-test/138.wav,89,in india weve created a miracle,in india we created a miracle,0,2,0,31,0.9354838709677419
singlish-test/139.wav,153,applications for auditions at the end of this month are now being accepted,applications for oritions at the end of this months are now being accepted,1,1,2,74,0.9459459459459459
singlish-test/140.wav,137,but it all still relies on millions and millions of paper documents,but it also relies on millions and millions of paper documents,0,5,1,67,0.9104477611940298
singlish-test/141.wav,180,the algorithm is changing he told reporters on the sidelines of a community event,the el garam is changing he told reporters on the silence of a community event,1,4,6,81,0.8641975308641975
singlish-test/142.wav,108,both are in their advanced stage of development,both are in the advanced stage of development,0,2,0,47,0.9574468085106383
singlish-test/143.wav,154,and how effective are these methods in preparing children for primary school,and have effective athese matters in preparing children for a primary school,3,3,6,76,0.8421052631578947
singlish-test/144.wav,172,it could include looking for a job seeking medical attention or getting children to school,it could include looking for a job seeking medical attention of getting children to school,0,0,1,90,0.9888888888888889
singlish-test/145.wav,115,the police said investigations are still in progress,the policade investigations are still in progress,0,3,2,52,0.9038461538461539
singlish-test/146.wav,117,and no you wont want to live on a farm when you retire,and now you won't want to live on a farm where you retire,3,0,1,54,0.9259259259259259
singlish-test/147.wav,172,consumers should also exercise due diligence when buying foreign properties,consuments should also exercise du diligence when bying foreign properties,1,2,1,75,0.9466666666666667
singlish-test/148.wav,159,a stern message has to be sent that such offences cannot be tolerated,a stern message has to be sent that such offenses cannot be tolerated,0,0,1,69,0.9855072463768116
singlish-test/149.wav,142,both my parents were insomniacs and often fought with each other,both my parents were in some necks and oftenforth with each other,3,2,5,64,0.84375
singlish-test/150.wav,105,nadia natasha who directed the programme,nadia netasha who directed the programme,0,0,1,40,0.975
singlish-test/151.wav,89,both parties must use the same app,both parties must use the same ab,0,1,1,34,0.9411764705882353
singlish-test/152.wav,112,the patient is currently well and has been informed,the patient is currently well and has been informed,0,0,0,51,1.0
singlish-test/153.wav,149,for children discernment and responsibility may not come naturally,for children discernment and responsibility may not come naturelly,0,0,1,66,0.9848484848484849
singlish-test/154.wav,182,bullies tend to back off when their fellow students show disapproval or speak out against them,bulisten to backof and their fellows stood and showed this approval ospeak agout against them,9,10,7,94,0.723404255319149
singlish-test/155.wav,159,as pointed out by many observers infrastructure is only part of the solution,as pointed out by many observers in fostructure is only part of the solution,1,1,1,76,0.9605263157894737
singlish-test/156.wav,148,showers are expected over the western part of singapore in the late afternoon,showwas i expected over the western part of singapo in the late afternoon,0,4,3,77,0.9090909090909091
singlish-test/157.wav,83,a lot of that depends on you,a lot of that depends on you,0,0,0,28,1.0
singlish-test/158.wav,112,there is more chance of getting injured in this field,there's moe chance of getting injured in this field,0,2,1,53,0.9433962264150944
singlish-test/159.wav,199,and history will be judging too how singapore and singaporeans move forth from here,and history will be jarging too how'll sing ap or and sing ap orans move for from here,7,4,2,83,0.8433734939759037
singlish-test/160.wav,145,this does not meet the required for informed consent,this does not mean the required for informant consent,1,0,4,52,0.9038461538461539
singlish-test/161.wav,73,cry whenever you want to,cry whenever you want to,0,0,0,24,1.0
singlish-test/162.wav,126,around here during the weekends it is now quiet and i like it,around here during the weekancs it is now quiet and i like it,0,0,2,61,0.9672131147540983
singlish-test/163.wav,161,proper events were also held to determine who could text the fastest too,proper events were also held to ditamin who could text the fasters too,1,3,2,72,0.9166666666666666
singlish-test/164.wav,127,you were not the only one who smelled the haze last night,you were not the only one who smelt the haze last night,0,2,1,57,0.9473684210526315
singlish-test/165.wav,83,can athletes be given more help,cannat lits be given more help,0,1,3,31,0.8709677419354839
singlish-test/166.wav,147,he also said that businesses need to look for vehicle parks that are convenient,he also sai dead businesses need to look for veacle parks that are convenient,0,2,4,79,0.9240506329113924
singlish-test/167.wav,73,it was a simple letter,it was a simple letter,0,0,0,22,1.0
singlish-test/168.wav,92,im very interested in technology,iam very interested in technology,1,0,0,32,0.96875
singlish-test/169.wav,122,all these will make our security officers more productive,all these will make our security offices more productive,0,1,0,57,0.9824561403508771
singlish-test/170.wav,185,losses in financial stocks amid an inquiry into the sector capped the gains on the index,lawsless in financial stocks amit an inquiry into the secto kept agains on the index,2,6,7,88,0.8295454545454546
singlish-test/171.wav,188,but taking this into account still did not completely explain why numbers have gone up so much,but thinking this into accounts thil did not completely explain why numbers have gone up so much,3,1,3,94,0.925531914893617
singlish-test/172.wav,186,she noted that the crowds thin out in the vicinity of her shop after noon each day,she noted that the croud stain out in the vicinity of her shop afternoon each day,1,2,2,82,0.9390243902439024
singlish-test/173.wav,97,betray that trust at your own peril,betrayed tha truss at your own paril,2,1,2,35,0.8571428571428571
singlish-test/174.wav,199,the operator said it is also reviewing all safety procedures including those involving track access,the operator said it is also reviewen all safety for cities including those involving trag ases,1,5,8,99,0.8585858585858586
singlish-test/175.wav,123,at its core the religion teaches us to do good,edits called the religion teaches us to do good,2,1,4,46,0.8478260869565217
singlish-test/176.wav,110,she had also worked for various newspapers,she had also worked for various newspapers,0,0,0,42,1.0
singlish-test/177.wav,135,finally matthew asks how can we get back clearer days,finally metou ask how can we get vackclearer days,0,4,4,53,0.8490566037735849
singlish-test/178.wav,150,after that the pottery are left to cool in the kiln for up to a week,after that the fortury are left to call in the kin for up to a wig,0,2,7,68,0.8676470588235294
singlish-test/179.wav,114,im still very childlike in my thinking in a way,i'm still very chatlike in my thinking in a way,1,1,2,47,0.9148936170212766
singlish-test/180.wav,145,once you have made the instalment you are not subject to any volatility,once you have made the instalment your not subject to any violitity,1,5,1,71,0.9014084507042254
singlish-test/181.wav,173,i am sure that he left satisfied with singapores achievements and confident about its future,i'm sure that he left satisfied with singapor's achievements and confredin about its future,1,2,4,92,0.9239130434782609
singlish-test/182.wav,69,its a gay anthem too,it's a gay anthem through,5,0,1,20,0.7
singlish-test/183.wav,186,they have so far yielded little firm indication of whether a deal can be reached to update the pact,they have so far yielded little firm indication of whether a dill can be reached to obtain the pact,0,0,7,99,0.9292929292929293
singlish-test/184.wav,173,driven by his love for food he picked up cooking and worked his way up the culinary ladder,driven by his leaf of food he picked up cooking and worked his way up the colinary ledder,0,1,6,90,0.9222222222222223
singlish-test/185.wav,94,but do not mistake her for a tomboy,but do not mistake her for a tomboy,0,0,0,35,1.0
singlish-test/186.wav,94,but not all is barren on the water front,but not all is barren on the walto fron,1,2,1,40,0.9
singlish-test/187.wav,93,numerous projects are currently in the pipeline,numerous projects accurrently the pipe line,1,5,1,47,0.851063829787234
singlish-test/188.wav,201,she was conscientious in recording all her expenditures into the budget notebook that we provided,she was consciouses in recodding all her expenditures into the badget notebook that we provided,2,4,2,97,0.9175257731958762
singlish-test/189.wav,101,motorcycle premium was the only exception,modocycle premium was the only exception,0,1,1,41,0.9512195121951219
singlish-test/190.wav,141,but he has five years less experience that he otherwise would have had,but he has five years less experience than he otherwise would have had,0,0,1,70,0.9857142857142858
singlish-test/191.wav,152,but receivers of bad gifts positively evaluated the thought behind them,but receiveurs of bedgiffe positively velvated the tall behind them,1,5,8,71,0.8028169014084507
singlish-test/192.wav,190,he also mentioned that doctor lee proposed to build a memorial garden in the university,he also mentioned that doctor leav proposed to buit a memorial garden in the university,1,1,2,87,0.9540229885057471
singlish-test/193.wav,147,hold the lift door open so youll share a lift with someone from your block,hold the lea door open so you'll share a leaf with someone from your block,2,2,3,74,0.9054054054054054
singlish-test/194.wav,78,just dont be fake news though,jas don't be faknews though,1,3,1,29,0.8275862068965517
singlish-test/195.wav,151,private hospitals should develop the systems and relationships to facilitate this,private hospitals should develop the systems and relationship to facilitate thes,0,1,1,81,0.9753086419753086
singlish-test/196.wav,124,in other matters such consultation is optional,in other matters such consultation is optional,0,0,0,46,1.0
singlish-test/197.wav,122,equality is an inspiration not a,equality is an inspiration on erilerity,8,1,2,32,0.65625
singlish-test/198.wav,142,and it isnt only in the diplomatic world that mister lee made an impact,and it isn't only in the diplomatic world that mister lee made at impac,1,1,1,71,0.9577464788732394
singlish-test/199.wav,98,get outside we live in a beautiful world,get a sidhe relief in a beautiful world,1,2,5,40,0.8
singlish-test/200.wav,173,but her family allows them to do so only if they are lest they fall down,but her family allows them to do so only if they accompanied lest they fall down,8,0,1,72,0.875
singlish-test/201.wav,185,the awards are tenable for a maximum period of three years subject to annual renewal,the was a tenable for a maximum period of three years subject to annuorinual,0,8,3,84,0.8690476190476191
singlish-test/202.wav,168,hemp seed is also one of the fundamental herbs in traditional chinese medicine,hemseed is also one of the fundamental herb's in traditional chines medicine,1,3,0,78,0.9487179487179487
singlish-test/203.wav,143,her surgical wound has healed and no longer requires dressing change,her segical woun has healed and no longer requires dressing change,0,2,1,68,0.9558823529411765
singlish-test/204.wav,182,starting next tuesday five job fairs will be held across the island every two to three months,stutting next tuesday five chop fars will be held across the island every two two three months,2,1,4,93,0.9247311827956989
singlish-test/205.wav,215,bladder training and medication to decrease bladder sensitivity can help to treat urge incontinence,bladded training and medication to decrease ladder sensitivity can have to treat urge inconsidence,0,1,6,99,0.9292929292929293
singlish-test/206.wav,120,being overly spoilt and doting their only daughter,being overhy spoilt and doting their only daughter,0,0,1,50,0.98
singlish-test/207.wav,78,im very fond of history,i am very fond of history,2,0,0,23,0.9130434782608695
singlish-test/208.wav,200,it is also a venue to showcase content and offers expertise from its community of filmmakers,it is also a vanue to show is content and offics exspaties from its community of philamacis,3,4,10,92,0.8152173913043478
singlish-test/209.wav,159,in between testing they were allowed to interact read study and watch movies,and between testing they were allowed to interract greate study and wash movies,4,1,3,76,0.8947368421052632
singlish-test/210.wav,149,a lot of his policies even if they were unpopular were usually right,a lot of his follicies even if they were unpopular were usually right,1,0,1,68,0.9705882352941176
singlish-test/211.wav,141,although the police waiting are drenched no one moved from their waiting spots,although the fool is waiting a drench no one moved from their wadding sparts,3,5,5,78,0.8333333333333334
