Unnamed: 0,WavFilesPath,stt,new_path,transcript,I,D,S,N,Accuracy
2084,/content/drive/MyDrive/singlish/train/85.wav,i live in singapore,85,i live in singapore,0,0,0,19,1.0
2077,/content/drive/MyDrive/singlish/train/86.wav,she always keeps her desk neat and tidy,86,she always keeps her desk neat and tidy,0,0,0,39,1.0
2087,/content/drive/MyDrive/singlish/train/87.wav,the pot calls the kettle black,87,the pot calls the kettle black,0,0,0,30,1.0
2103,/content/drive/MyDrive/singlish/train/88.wav,she is a deeper sleep,88,she is a deeper sleep,0,0,0,21,1.0
2096,/content/drive/MyDrive/singlish/train/89.wav,he is a real nitpicker,89,he is a real nitpicker,0,0,0,22,1.0
2013,/content/drive/MyDrive/singlish/train/90.wav,the watermelon has ripened,90,the watermelon has ripened,0,0,0,26,1.0
2035,/content/drive/MyDrive/singlish/train/91.wav,my father fired the star worker,91,my father fired the star worker,0,0,0,31,1.0
2063,/content/drive/MyDrive/singlish/train/92.wav,the children wipe their noses on the towel,92,the children wipe their noses on the towel,0,0,0,42,1.0
2074,/content/drive/MyDrive/singlish/train/93.wav,our sports teams have achieved remarkable feats this year,93,our sports teams have achieved remarkable feats this year,0,0,0,57,1.0
2104,/content/drive/MyDrive/singlish/train/94.wav,tell him to zip his lip,94,tell him to zip his lip,0,0,0,23,1.0
2004,/content/drive/MyDrive/singlish/train/95.wav,i like listening to rap,95,i like listening to rap,0,0,0,23,1.0
2076,/content/drive/MyDrive/singlish/train/96.wav,we know more about space than the seasons and the seas,96,we know more about space than the seasons and the seas,0,0,0,54,1.0
2047,/content/drive/MyDrive/singlish/train/97.wav,the witch put a spell on the prince but it was the wrong one,97,the witch put a spell on the prince but it was the wrong one,0,0,0,60,1.0
2068,/content/drive/MyDrive/singlish/train/98.wav,a murder had already been plotted a month ago,98,a murder had already been plotted a month ago,0,0,0,45,1.0
2115,/content/drive/MyDrive/singlish/train/99.wav,hold your bat steady and focus your eyes on the ball,99,hold your bat steady and focus your eyes on the ball,0,0,0,52,1.0
2079,/content/drive/MyDrive/singlish/train/100.wav,sakura flowers bloom around april,100,sakura flowers bloom around april,0,0,0,33,1.0
2022,/content/drive/MyDrive/singlish/train/101.wav,rubber boots are not popular in singapore despite our rainy weather,101,rubber boots are not popular in singapore despite our rainy weather,0,0,0,67,1.0
2038,/content/drive/MyDrive/singlish/train/102.wav,the butler poured the guest a glass of water,102,the butler poured the guest a glass of water,0,0,0,44,1.0
2057,/content/drive/MyDrive/singlish/train/103.wav,you cant compare apples to oranges,103,you cant compare apples to oranges,0,0,0,34,1.0
2108,/content/drive/MyDrive/singlish/train/104.wav,lets dissect this problem part by part,104,lets dissect this problem part by part,0,0,0,38,1.0
2003,/content/drive/MyDrive/singlish/train/105.wav,theres something about hotel beds that makes them extra cosy,105,theres something about hotel beds that makes them extra cosy,0,0,0,60,1.0
2075,/content/drive/MyDrive/singlish/train/106.wav,birds have been found to be our modernday dinosaurs,106,birds have been found to be our modernday dinosaurs,0,0,0,51,1.0
2053,/content/drive/MyDrive/singlish/train/107.wav,she scooped herself a big bowl of corn soup,107,she scooped herself a big bowl of corn soup,0,0,0,43,1.0
2032,/content/drive/MyDrive/singlish/train/108.wav,the fly was caught in the spiders web,108,the fly was caught in the spiders web,0,0,0,37,1.0
2078,/content/drive/MyDrive/singlish/train/109.wav,fresh graduates are always anxious about their first job,109,fresh graduates are always anxious about their first job,0,0,0,56,1.0
2091,/content/drive/MyDrive/singlish/train/110.wav,there is speculation that a housing bubble may occur,110,there is speculation that a housing bubble may occur,0,0,0,52,1.0
2065,/content/drive/MyDrive/singlish/train/111.wav,rising college debt has been a widely discussed matter,111,rising college debt has been a widely discussed matter,0,0,0,54,1.0
2082,/content/drive/MyDrive/singlish/train/112.wav,chilli crab is a famous dish in singapore,112,chilli crab is a famous dish in singapore,0,0,0,41,1.0
2044,/content/drive/MyDrive/singlish/train/113.wav,his flexible thinking led him to solve a number of the worlds hardest math problems,113,his flexible thinking led him to solve a number of the worlds hardest math problems,0,0,0,83,1.0
2064,/content/drive/MyDrive/singlish/train/114.wav,to get better at maths practise more,114,to get better at maths practise more,0,0,0,36,1.0
2095,/content/drive/MyDrive/singlish/train/115.wav,a child prodigy james eventually became a respected judge,115,a child prodigy james eventually became a respected judge,0,0,0,57,1.0
2116,/content/drive/MyDrive/singlish/train/116.wav,many beautiful dresses were showcased at the gala,116,many beautiful dresses were showcased at the gala,0,0,0,49,1.0
2158,/content/drive/MyDrive/singlish/train/117.wav,some cuddling could cheer her up,117,some cuddling could cheer her up,0,0,0,32,1.0
2151,/content/drive/MyDrive/singlish/train/118.wav,the lands deed was sold to be the old lady,118,the lands deed was sold to be the old lady,0,0,0,42,1.0
2127,/content/drive/MyDrive/singlish/train/119.wav,the coach trained the young gymnast twice as hard as the competition neared,119,the coach trained the young gymnast twice as hard as the competition neared,0,0,0,75,1.0
2168,/content/drive/MyDrive/singlish/train/120.wav,i dreamt of becoming a doctor when i was a child,120,i dreamt of becoming a doctor when i was a child,0,0,0,48,1.0
2134,/content/drive/MyDrive/singlish/train/121.wav,twins often have a unique chemistry with each other,121,twins often have a unique chemistry with each other,0,0,0,51,1.0
2174,/content/drive/MyDrive/singlish/train/122.wav,it is more important to study smart than to study hard,122,it is more important to study smart than to study hard,0,0,0,54,1.0
2159,/content/drive/MyDrive/singlish/train/123.wav,the oak tree stood strong against the test of time,123,the oak tree stood strong against the test of time,0,0,0,50,1.0
2120,/content/drive/MyDrive/singlish/train/124.wav,the baker used a whole block of butter for this recipe,124,the baker used a whole block of butter for this recipe,0,0,0,54,1.0
2131,/content/drive/MyDrive/singlish/train/125.wav,he did not have much but he had a kind and loving heart,125,he did not have much but he had a kind and loving heart,0,0,0,55,1.0
2146,/content/drive/MyDrive/singlish/train/126.wav,the clever and amazing use of lighting made the musical performance a truly magical one,126,the clever and amazing use of lighting made the musical performance a truly magical one,0,0,0,87,1.0
2156,/content/drive/MyDrive/singlish/train/127.wav,it was a miracle that he recovered from his lifethreatening accident,127,it was a miracle that he recovered from his lifethreatening accident,0,0,0,68,1.0
2143,/content/drive/MyDrive/singlish/train/128.wav,they tried to keep it a secret but he was able to figure everything out,128,they tried to keep it a secret but he was able to figure everything out,0,0,0,71,1.0
2117,/content/drive/MyDrive/singlish/train/129.wav,in this game you must escape from ghosts and zombies while finding the way out from the foggy maze,129,in this game you must escape from ghosts and zombies while finding the way out from the foggy maze,0,0,0,98,1.0
2118,/content/drive/MyDrive/singlish/train/130.wav,she lazed her whole morning away on a deck chair by the beach,130,she lazed her whole morning away on a deck chair by the beach,0,0,0,61,1.0
2132,/content/drive/MyDrive/singlish/train/131.wav,there was a switch in the venue for the football match,131,there was a switch in the venue for the football match,0,0,0,54,1.0
2129,/content/drive/MyDrive/singlish/train/132.wav,most youths today think that their future is uncertain,132,most youths today think that their future is uncertain,0,0,0,54,1.0
2150,/content/drive/MyDrive/singlish/train/133.wav,the couple went on an enriching adventure together,133,the couple went on an enriching adventure together,0,0,0,50,1.0
2140,/content/drive/MyDrive/singlish/train/134.wav,the girls experiences gave her an edge over her peers of the same age,134,the girls experiences gave her an edge over her peers of the same age,0,0,0,69,1.0
2177,/content/drive/MyDrive/singlish/train/135.wav,the kind of packaging can pose a danger to animals,135,this kind of packaging can pose a danger to animals,0,1,1,51,0.9607843137254902
2172,/content/drive/MyDrive/singlish/train/136.wav,the student skated onto the stage to receive this certificate,136,the student skated onto the stage to receive this certificate,0,0,0,61,1.0
2138,/content/drive/MyDrive/singlish/train/137.wav,he said it is a good outcome for the country and that many of the events had been meaningful,137,he said it is a good outcome for the country and that many of the events had been meaningful,0,0,0,92,1.0
2175,/content/drive/MyDrive/singlish/train/138.wav,in india weve created a miracle,138,in india weve created a miracle,0,0,0,31,1.0
2128,/content/drive/MyDrive/singlish/train/139.wav,applications for auditions at the end of this month are now being accepted,139,applications for auditions at the end of this month are now being accepted,0,0,0,74,1.0
2154,/content/drive/MyDrive/singlish/train/140.wav,but it all still relies on millions and millions of paper documents,140,but it all still relies on millions and millions of paper documents,0,0,0,67,1.0
2124,/content/drive/MyDrive/singlish/train/141.wav,the algorihm is changing he told reporters on the sidelines of a community event,141,the algorithm is changing he told reporters on the sidelines of a community event,0,1,0,81,0.9876543209876543
2135,/content/drive/MyDrive/singlish/train/142.wav,both are in their advanced stage of development,142,both are in their advanced stage of development,0,0,0,47,1.0
2161,/content/drive/MyDrive/singlish/train/143.wav,and how effective are these methods in preparing children for primary school,143,and how effective are these methods in preparing children for primary school,0,0,0,76,1.0
2153,/content/drive/MyDrive/singlish/train/144.wav,it could include looking for a job seeking medical attention or getting children to school,144,it could include looking for a job seeking medical attention or getting children to school,0,0,0,90,1.0
2149,/content/drive/MyDrive/singlish/train/145.wav,the police said investigations are still in progress,145,the police said investigations are still in progress,0,0,0,52,1.0
2169,/content/drive/MyDrive/singlish/train/146.wav,and no you wont want to live on a farm when you retire,146,and no you wont want to live on a farm when you retire,0,0,0,54,1.0
2148,/content/drive/MyDrive/singlish/train/147.wav,consumers should also exercise due diligence when buying foreign properties,147,consumers should also exercise due diligence when buying foreign properties,0,0,0,75,1.0
2176,/content/drive/MyDrive/singlish/train/148.wav,a stern message has to be sent that such offences cannot be tolerated,148,a stern message has to be sent that such offences cannot be tolerated,0,0,0,69,1.0
2163,/content/drive/MyDrive/singlish/train/149.wav,both my parents were insomniacs and often fought with each other,149,both my parents were insomniacs and often fought with each other,0,0,0,64,1.0
2157,/content/drive/MyDrive/singlish/train/150.wav,nadia natasha who directed the programme,150,nadia natasha who directed the programme,0,0,0,40,1.0
2160,/content/drive/MyDrive/singlish/train/151.wav,both parties must use the same app,151,both parties must use the same app,0,0,0,34,1.0
2162,/content/drive/MyDrive/singlish/train/152.wav,the patient is currently well and has been informed,152,the patient is currently well and has been informed,0,0,0,51,1.0
2167,/content/drive/MyDrive/singlish/train/153.wav,for children discernment and responsibility may not come naturally,153,for children discernment and responsibility may not come naturally,0,0,0,66,1.0
2170,/content/drive/MyDrive/singlish/train/154.wav,bullies tend to back off when their fellow students show disapproval or speak out against them,154,bullies tend to back off when their fellow students show disapproval or speak out against them,0,0,0,94,1.0
2126,/content/drive/MyDrive/singlish/train/155.wav,as pointed out by many observers infrastructure is only part of the solution,155,as pointed out by many observers infrastructure is only part of the solution,0,0,0,76,1.0
2171,/content/drive/MyDrive/singlish/train/156.wav,showers are expected over the western part of singapore in the late afternoon,156,showers are expected over the western part of singapore in the late afternoon,0,0,0,77,1.0
2166,/content/drive/MyDrive/singlish/train/157.wav,a lot of that depends on you,157,a lot of that depends on you,0,0,0,28,1.0
2145,/content/drive/MyDrive/singlish/train/158.wav,there is more chance of getting injured in this field,158,there is more chance of getting injured in this field,0,0,0,53,1.0
2155,/content/drive/MyDrive/singlish/train/159.wav,and history will be judging too how singapore and singaporeans move forth from here,159,and history will be judging too how singapore and singaporeans move forth from here,0,0,0,83,1.0
2144,/content/drive/MyDrive/singlish/train/160.wav,this does not meet the required for informed consent,160,this does not meet the required for informed consent,0,0,0,52,1.0
2142,/content/drive/MyDrive/singlish/train/161.wav,cry whenever you want to,161,cry whenever you want to,0,0,0,24,1.0
2141,/content/drive/MyDrive/singlish/train/162.wav,around here during the weekends it is now quiet and i like it,162,around here during the weekends it is now quiet and i like it,0,0,0,61,1.0
2139,/content/drive/MyDrive/singlish/train/163.wav,proper events were also held to determine who could text the fastest too,163,proper events were also held to determine who could text the fastest too,0,0,0,72,1.0
2125,/content/drive/MyDrive/singlish/train/164.wav,you were not the only one who smelled the haze last night,164,you were not the only one who smelled the haze last night,0,0,0,57,1.0
2152,/content/drive/MyDrive/singlish/train/165.wav,can athletes be given more help,165,can athletes be given more help,0,0,0,31,1.0
2123,/content/drive/MyDrive/singlish/train/166.wav,he also said that businesses need to look for vehicle parks that are convenient,166,he also said that businesses need to look for vehicle parks that are convenient,0,0,0,79,1.0
2130,/content/drive/MyDrive/singlish/train/167.wav,it was a simple letter,167,it was a simple letter,0,0,0,22,1.0
2137,/content/drive/MyDrive/singlish/train/168.wav,im very interested in technology,168,im very interested in technology,0,0,0,32,1.0
2173,/content/drive/MyDrive/singlish/train/169.wav,all these will make our security officers more productive,169,all these will make our security officers more productive,0,0,0,57,1.0
2121,/content/drive/MyDrive/singlish/train/170.wav,losses in financial stocks amid an inquiry into the sector capped the gains on the index,170,losses in financial stocks amid an inquiry into the sector capped the gains on the index,0,0,0,88,1.0
2165,/content/drive/MyDrive/singlish/train/171.wav,but taking this into account still did not completely explain why numbers have gone up so much,171,but taking this into account still did not completely explain why numbers have gone up so much,0,0,0,94,1.0
2164,/content/drive/MyDrive/singlish/train/172.wav,she noted that the crowds thin out in the vicinity of her shop after noon each day,172,she noted that the crowds thin out in the vicinity of her shop after noon each day,0,0,0,82,1.0
2133,/content/drive/MyDrive/singlish/train/173.wav,betray that trust at your own peril,173,betray that trust at your own peril,0,0,0,35,1.0
2136,/content/drive/MyDrive/singlish/train/174.wav,the operator said it is also reviewing all safety procedures including those involving track access,174,the operator said it is also reviewing all safety procedures including those involving track access,0,0,0,99,1.0
2119,/content/drive/MyDrive/singlish/train/175.wav,at its core the religion teaches us to do good,175,at its core the religion teaches us to do good,0,0,0,46,1.0
2122,/content/drive/MyDrive/singlish/train/176.wav,she had also worked for various newspapers,176,she had also worked for various newspapers,0,0,0,42,1.0
2147,/content/drive/MyDrive/singlish/train/177.wav,finally matthew asks how can we get back clearer days,177,finally matthew asks how can we get back clearer days,0,0,0,53,1.0
2214,/content/drive/MyDrive/singlish/train/178.wav,after that the pottery are left to cool in the kiln for up to a week,178,after that the pottery are left to cool in the kiln for up to a week,0,0,0,68,1.0
2215,/content/drive/MyDrive/singlish/train/179.wav,im still very childlike in my thinking in a way,179,im still very childlike in my thinking in a way,0,0,0,47,1.0
2208,/content/drive/MyDrive/singlish/train/180.wav,once you have made the instalment you are not subject to any volatility,180,once you have made the instalment you are not subject to any volatility,0,0,0,71,1.0
2185,/content/drive/MyDrive/singlish/train/181.wav,i am sure that he left satisfied with singapores achievements and confident about its future,181,i am sure that he left satisfied with singapores achievements and confident about its future,0,0,0,92,1.0
2203,/content/drive/MyDrive/singlish/train/182.wav,its a gay anthem too,182,its a gay anthem too,0,0,0,20,1.0
2213,/content/drive/MyDrive/singlish/train/183.wav,they have so far yielded little firm indication of whether a deal can be reached to update the pact,183,they have so far yielded little firm indication of whether a deal can be reached to update the pact,0,0,0,99,1.0
